symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
BTCUSDT,2025-02-09T00:00:00+00:00,2025-02-09T23:59:59.999000+00:00,2025-02-10T00:00:00.999000+00:00,96444.75,97323.09,94713.0,96462.75,14120.91613
BTCUSDT,2025-02-10T00:00:00+00:00,2025-02-10T23:59:59.999000+00:00,2025-02-11T00:00:00.999000+00:00,96462.75,98345.0,95256.0,97430.82,20572.87537
BTCUSDT,2025-02-11T00:00:00+00:00,2025-02-11T23:59:59.999000+00:00,2025-02-12T00:00:00.999000+00:00,97430.82,98478.42,94876.88,95778.2,18647.76379
BTCUSDT,2025-02-12T00:00:00+00:00,2025-02-12T23:59:59.999000+00:00,2025-02-13T00:00:00.999000+00:00,95778.21,98119.99,94088.23,97869.99,29151.16625
BTCUSDT,2025-02-13T00:00:00+00:00,2025-02-13T23:59:59.999000+00:00,2025-02-14T00:00:00.999000+00:00,97870.0,98083.91,95217.36,96608.14,19921.77616
BTCUSDT,2025-02-14T00:00:00+00:00,2025-02-14T23:59:59.999000+00:00,2025-02-15T00:00:00.999000+00:00,96608.13,98826.0,96252.82,97500.48,18173.02646
BTCUSDT,2025-02-15T00:00:00+00:00,2025-02-15T23:59:59.999000+00:00,2025-02-16T00:00:00.999000+00:00,97500.47,97972.26,97223.58,97569.66,7349.37683
BTCUSDT,2025-02-16T00:00:00+00:00,2025-02-16T23:59:59.999000+00:00,2025-02-17T00:00:00.999000+00:00,97569.67,97704.47,96046.18,96118.12,8191.4249
BTCUSDT,2025-02-17T00:00:00+00:00,2025-02-17T23:59:59.999000+00:00,2025-02-18T00:00:00.999000+00:00,96118.12,97046.59,95205.0,95780.0,16492.0451
BTCUSDT,2025-02-18T00:00:00+00:00,2025-02-18T23:59:59.999000+00:00,2025-02-19T00:00:00.999000+00:00,95780.01,96753.91,93388.09,95671.74,23368.19471
BTCUSDT,2025-02-19T00:00:00+00:00,2025-02-19T23:59:59.999000+00:00,2025-02-20T00:00:00.999000+00:00,95671.74,96899.99,95029.99,96644.37,16438.50954
BTCUSDT,2025-02-20T00:00:00+00:00,2025-02-20T23:59:59.999000+00:00,2025-02-21T00:00:00.999000+00:00,96644.37,98711.36,96415.09,98305.0,17057.39177
BTCUSDT,2025-02-21T00:00:00+00:00,2025-02-21T23:59:59.999000+00:00,2025-02-22T00:00:00.999000+00:00,98305.01,99475.0,94871.95,96181.98,32249.2814
BTCUSDT,2025-02-22T00:00:00+00:00,2025-02-22T23:59:59.999000+00:00,2025-02-23T00:00:00.999000+00:00,96181.99,96980.0,95770.49,96551.01,11268.17708
BTCUSDT,2025-02-23T00:00:00+00:00,2025-02-23T23:59:59.999000+00:00,2025-02-24T00:00:00.999000+00:00,96551.01,96650.0,95227.94,96258.0,10884.84913
BTCUSDT,2025-02-24T00:00:00+00:00,2025-02-24T23:59:59.999000+00:00,2025-02-25T00:00:00.999000+00:00,96258.0,96500.0,91349.26,91552.88,31550.10299
BTCUSDT,2025-02-25T00:00:00+00:00,2025-02-25T23:59:59.999000+00:00,2025-02-26T00:00:00.999000+00:00,91552.88,92540.69,86050.99,88680.4,78333.11111
BTCUSDT,2025-02-26T00:00:00+00:00,2025-02-26T23:59:59.999000+00:00,2025-02-27T00:00:00.999000+00:00,88680.39,89414.15,82256.01,84250.09,56893.54409
BTCUSDT,2025-02-27T00:00:00+00:00,2025-02-27T23:59:59.999000+00:00,2025-02-28T00:00:00.999000+00:00,84250.09,87078.46,82716.49,84708.58,42505.45439
BTCUSDT,2025-02-28T00:00:00+00:00,2025-02-28T23:59:59.999000+00:00,2025-03-01T00:00:00.999000+00:00,84708.57,85120.0,78258.52,84349.94,83648.03969
BTCUSDT,2025-03-01T00:00:00+00:00,2025-03-01T23:59:59.999000+00:00,2025-03-02T00:00:00.999000+00:00,84349.95,86558.0,83824.78,86064.53,25785.05464
BTCUSDT,2025-03-02T00:00:00+00:00,2025-03-02T23:59:59.999000+00:00,2025-03-03T00:00:00.999000+00:00,86064.54,95000.0,85050.6,94270.0,54889.09045
BTCUSDT,2025-03-03T00:00:00+00:00,2025-03-03T23:59:59.999000+00:00,2025-03-04T00:00:00.999000+00:00,94269.99,94416.46,85117.11,86220.61,59171.10218
BTCUSDT,2025-03-04T00:00:00+00:00,2025-03-04T23:59:59.999000+00:00,2025-03-05T00:00:00.999000+00:00,86221.16,88967.52,81500.0,87281.98,55609.10706
BTCUSDT,2025-03-05T00:00:00+00:00,2025-03-05T23:59:59.999000+00:00,2025-03-06T00:00:00.999000+00:00,87281.98,91000.0,86334.53,90606.01,38264.01163
BTCUSDT,2025-03-06T00:00:00+00:00,2025-03-06T23:59:59.999000+00:00,2025-03-07T00:00:00.999000+00:00,90606.0,92810.64,87836.0,89931.89,34342.44902
BTCUSDT,2025-03-07T00:00:00+00:00,2025-03-07T23:59:59.999000+00:00,2025-03-08T00:00:00.999000+00:00,89931.88,91283.02,84667.03,86801.75,57980.35713
BTCUSDT,2025-03-08T00:00:00+00:00,2025-03-08T23:59:59.999000+00:00,2025-03-09T00:00:00.999000+00:00,86801.74,86897.25,85218.47,86222.45,12989.23054
BTCUSDT,2025-03-09T00:00:00+00:00,2025-03-09T23:59:59.999000+00:00,2025-03-10T00:00:00.999000+00:00,86222.46,86500.0,80000.0,80734.37,26115.39345
BTCUSDT,2025-03-10T00:00:00+00:00,2025-03-10T23:59:59.999000+00:00,2025-03-11T00:00:00.999000+00:00,80734.48,84123.46,77459.91,78595.86,47633.38405
BTCUSDT,2025-03-11T00:00:00+00:00,2025-03-11T23:59:59.999000+00:00,2025-03-12T00:00:00.999000+00:00,78595.86,83617.4,76606.0,82932.99,48770.06853
BTCUSDT,2025-03-12T00:00:00+00:00,2025-03-12T23:59:59.999000+00:00,2025-03-13T00:00:00.999000+00:00,82932.99,84539.85,80607.65,83680.12,31933.986
BTCUSDT,2025-03-13T00:00:00+00:00,2025-03-13T23:59:59.999000+00:00,2025-03-14T00:00:00.999000+00:00,83680.12,84336.33,79939.9,81115.78,27546.27412
BTCUSDT,2025-03-14T00:00:00+00:00,2025-03-14T23:59:59.999000+00:00,2025-03-15T00:00:00.999000+00:00,81115.78,85309.71,80818.84,83983.2,26858.52755
BTCUSDT,2025-03-15T00:00:00+00:00,2025-03-15T23:59:59.999000+00:00,2025-03-16T00:00:00.999000+00:00,83983.19,84676.28,83618.0,84338.44,11324.7332
BTCUSDT,2025-03-16T00:00:00+00:00,2025-03-16T23:59:59.999000+00:00,2025-03-17T00:00:00.999000+00:00,84338.44,85117.04,81981.12,82574.53,17596.12531
BTCUSDT,2025-03-17T00:00:00+00:00,2025-03-17T23:59:59.999000+00:00,2025-03-18T00:00:00.999000+00:00,82574.52,84756.83,82456.0,84010.03,17214.74358
BTCUSDT,2025-03-18T00:00:00+00:00,2025-03-18T23:59:59.999000+00:00,2025-03-19T00:00:00.999000+00:00,84010.02,84021.74,81134.66,82715.03,17610.89883
BTCUSDT,2025-03-19T00:00:00+00:00,2025-03-19T23:59:59.999000+00:00,2025-03-20T00:00:00.999000+00:00,82715.03,87000.0,82547.16,86845.94,28151.05374
BTCUSDT,2025-03-20T00:00:00+00:00,2025-03-20T23:59:59.999000+00:00,2025-03-21T00:00:00.999000+00:00,86845.93,87453.67,83655.23,84223.39,22090.30463
BTCUSDT,2025-03-21T00:00:00+00:00,2025-03-21T23:59:59.999000+00:00,2025-03-22T00:00:00.999000+00:00,84223.38,84850.33,83175.25,84088.79,11956.97443
BTCUSDT,2025-03-22T00:00:00+00:00,2025-03-22T23:59:59.999000+00:00,2025-03-23T00:00:00.999000+00:00,84088.79,84539.17,83625.1,83840.59,5420.22114
BTCUSDT,2025-03-23T00:00:00+00:00,2025-03-23T23:59:59.999000+00:00,2025-03-24T00:00:00.999000+00:00,83840.59,86129.64,83809.75,86082.5,8461.97813
BTCUSDT,2025-03-24T00:00:00+00:00,2025-03-24T23:59:59.999000+00:00,2025-03-25T00:00:00.999000+00:00,86082.5,88765.43,85519.09,87498.16,30115.62111
BTCUSDT,2025-03-25T00:00:00+00:00,2025-03-25T23:59:59.999000+00:00,2025-03-26T00:00:00.999000+00:00,87498.16,88539.63,86310.0,87392.87,22643.25248
BTCUSDT,2025-03-26T00:00:00+00:00,2025-03-26T23:59:59.999000+00:00,2025-03-27T00:00:00.999000+00:00,87392.88,88275.0,85860.0,86909.17,18408.78485
BTCUSDT,2025-03-27T00:00:00+00:00,2025-03-27T23:59:59.999000+00:00,2025-03-28T00:00:00.999000+00:00,86909.17,87756.39,85800.0,87232.01,17098.03897
BTCUSDT,2025-03-28T00:00:00+00:00,2025-03-28T23:59:59.999000+00:00,2025-03-29T00:00:00.999000+00:00,87232.01,87515.67,83585.0,84424.38,27182.73169
BTCUSDT,2025-03-29T00:00:00+00:00,2025-03-29T23:59:59.999000+00:00,2025-03-30T00:00:00.999000+00:00,84424.38,84624.73,81644.81,82648.54,11696.39864
BTCUSDT,2025-03-30T00:00:00+00:00,2025-03-30T23:59:59.999000+00:00,2025-03-31T00:00:00.999000+00:00,82648.53,83534.64,81565.0,82389.99,9864.49508
BTCUSDT,2025-03-31T00:00:00+00:00,2025-03-31T23:59:59.999000+00:00,2025-04-01T00:00:00.999000+00:00,82390.0,83943.08,81278.52,82550.01,20569.13885
BTCUSDT,2025-04-01T00:00:00+00:00,2025-04-01T23:59:59.999000+00:00,2025-04-02T00:00:00.999000+00:00,82550.0,85579.46,82432.74,85158.34,20190.39697
BTCUSDT,2025-04-02T00:00:00+00:00,2025-04-02T23:59:59.999000+00:00,2025-04-03T00:00:00.999000+00:00,85158.35,88500.0,82320.0,82516.29,39931.457
BTCUSDT,2025-04-03T00:00:00+00:00,2025-04-03T23:59:59.999000+00:00,2025-04-04T00:00:00.999000+00:00,82516.28,83998.02,81211.24,83213.09,27337.84135
BTCUSDT,2025-04-04T00:00:00+00:00,2025-04-04T23:59:59.999000+00:00,2025-04-05T00:00:00.999000+00:00,83213.09,84720.0,81659.0,83889.87,32915.53976
BTCUSDT,2025-04-05T00:00:00+00:00,2025-04-05T23:59:59.999000+00:00,2025-04-06T00:00:00.999000+00:00,83889.87,84266.0,82379.95,83537.99,9360.40468
BTCUSDT,2025-04-06T00:00:00+00:00,2025-04-06T23:59:59.999000+00:00,2025-04-07T00:00:00.999000+00:00,83537.99,83817.63,77153.83,78430.0,27942.71436
BTCUSDT,2025-04-07T00:00:00+00:00,2025-04-07T23:59:59.999000+00:00,2025-04-08T00:00:00.999000+00:00,78430.0,81243.58,74508.0,79163.24,78387.53089
BTCUSDT,2025-04-08T00:00:00+00:00,2025-04-08T23:59:59.999000+00:00,2025-04-09T00:00:00.999000+00:00,79163.24,80867.99,76239.9,76322.42,35317.32063
BTCUSDT,2025-04-09T00:00:00+00:00,2025-04-09T23:59:59.999000+00:00,2025-04-10T00:00:00.999000+00:00,76322.42,83588.0,74620.0,82615.22,75488.28772
BTCUSDT,2025-04-10T00:00:00+00:00,2025-04-10T23:59:59.999000+00:00,2025-04-11T00:00:00.999000+00:00,82615.22,82753.21,78464.36,79607.3,33284.80718
BTCUSDT,2025-04-11T00:00:00+00:00,2025-04-11T23:59:59.999000+00:00,2025-04-12T00:00:00.999000+00:00,79607.3,84300.0,78969.58,83423.84,34435.43797
BTCUSDT,2025-04-12T00:00:00+00:00,2025-04-12T23:59:59.999000+00:00,2025-04-13T00:00:00.999000+00:00,83423.83,85905.0,82792.95,85276.9,18470.74437
BTCUSDT,2025-04-13T00:00:00+00:00,2025-04-13T23:59:59.999000+00:00,2025-04-14T00:00:00.999000+00:00,85276.91,86100.0,83034.23,83760.0,24680.04181
BTCUSDT,2025-04-14T00:00:00+00:00,2025-04-14T23:59:59.999000+00:00,2025-04-15T00:00:00.999000+00:00,83760.0,85799.99,83678.0,84591.58,28659.09348
BTCUSDT,2025-04-15T00:00:00+00:00,2025-04-15T23:59:59.999000+00:00,2025-04-16T00:00:00.999000+00:00,84591.58,86496.42,83600.0,83643.99,20910.99528
BTCUSDT,2025-04-16T00:00:00+00:00,2025-04-16T23:59:59.999000+00:00,2025-04-17T00:00:00.999000+00:00,83643.99,85500.0,83111.64,84030.38,20867.24519
BTCUSDT,2025-04-17T00:00:00+00:00,2025-04-17T23:59:59.999000+00:00,2025-04-18T00:00:00.999000+00:00,84030.38,85470.01,83736.26,84947.91,13728.84772
BTCUSDT,2025-04-18T00:00:00+00:00,2025-04-18T23:59:59.999000+00:00,2025-04-19T00:00:00.999000+00:00,84947.92,85132.08,84303.96,84474.69,6529.96315
BTCUSDT,2025-04-19T00:00:00+00:00,2025-04-19T23:59:59.999000+00:00,2025-04-20T00:00:00.999000+00:00,84474.7,85677.99,84364.45,85077.01,9666.58153
BTCUSDT,2025-04-20T00:00:00+00:00,2025-04-20T23:59:59.999000+00:00,2025-04-21T00:00:00.999000+00:00,85077.0,85320.76,83949.52,85179.24,8091.67725
BTCUSDT,2025-04-21T00:00:00+00:00,2025-04-21T23:59:59.999000+00:00,2025-04-22T00:00:00.999000+00:00,85179.24,88465.99,85144.76,87516.23,31773.37262
BTCUSDT,2025-04-22T00:00:00+00:00,2025-04-22T23:59:59.999000+00:00,2025-04-23T00:00:00.999000+00:00,87516.22,93888.0,87076.03,93442.99,43872.74705
BTCUSDT,2025-04-23T00:00:00+00:00,2025-04-23T23:59:59.999000+00:00,2025-04-24T00:00:00.999000+00:00,93442.99,94696.05,91935.41,93691.08,27404.16808
BTCUSDT,2025-04-24T00:00:00+00:00,2025-04-24T23:59:59.999000+00:00,2025-04-25T00:00:00.999000+00:00,93691.07,94005.0,91660.01,93980.47,19497.06071
BTCUSDT,2025-04-25T00:00:00+00:00,2025-04-25T23:59:59.999000+00:00,2025-04-26T00:00:00.999000+00:00,93980.47,95758.04,92855.96,94638.68,27500.66648
BTCUSDT,2025-04-26T00:00:00+00:00,2025-04-26T23:59:59.999000+00:00,2025-04-27T00:00:00.999000+00:00,94638.68,95199.0,93870.69,94628.0,9415.06875
BTCUSDT,2025-04-27T00:00:00+00:00,2025-04-27T23:59:59.999000+00:00,2025-04-28T00:00:00.999000+00:00,94628.0,95369.0,93602.58,93749.3,11162.841
BTCUSDT,2025-04-28T00:00:00+00:00,2025-04-28T23:59:59.999000+00:00,2025-04-29T00:00:00.999000+00:00,93749.29,95630.0,92800.01,95011.18,22157.53351
BTCUSDT,2025-04-29T00:00:00+00:00,2025-04-29T23:59:59.999000+00:00,2025-04-30T00:00:00.999000+00:00,95011.18,95461.53,93742.54,94256.82,16955.3402
BTCUSDT,2025-04-30T00:00:00+00:00,2025-04-30T23:59:59.999000+00:00,2025-05-01T00:00:00.999000+00:00,94256.82,95228.45,92910.0,94172.0,17661.2751
BTCUSDT,2025-05-01T00:00:00+00:00,2025-05-01T23:59:59.999000+00:00,2025-05-02T00:00:00.999000+00:00,94172.0,97424.02,94130.43,96489.91,21380.45343
